City,Latitude,Longitude,Temperatures,Temp Max,Humidity,Country,Clouds,Date,Wind Speed
verkh-usugli,52.7,115.1667,57.76,57.76,97,RU,100,1627429620,2.42
castro,-24.7911,-50.0119,47.59,47.59,95,BR,100,1627429621,6.29
bluff,-46.6,168.3333,51.8,51.8,71,NZ,19,1627429621,12.55
nikolskoye,59.7035,30.7861,62.87,65.01,66,RU,93,1627429622,4.54
bambous virieux,-20.3428,57.7575,69.22,69.22,89,MU,99,1627429622,16.13
mataura,-46.1927,168.8643,51.48,51.48,77,NZ,51,1627429622,0.78
qandala,11.472,49.8728,86.04,86.04,50,SO,14,1627429623,15.7
aklavik,68.2191,-135.0107,60.8,63.43,88,CA,90,1627429623,3.44
nanortalik,60.1432,-45.2371,45.77,45.77,78,GL,62,1627429624,3.67
laguna,38.421,-121.4238,95.92,102.63,25,US,1,1627429624,1.99
poopo,-18.3667,-66.9667,42.93,42.93,29,BO,32,1627429625,19.39
avarua,-21.2078,-159.775,77.05,77.05,61,CK,79,1627429625,5.75
mar del plata,-38.0023,-57.5575,45.99,47.08,66,AR,75,1627429625,14.0
severo-kurilsk,50.6789,156.125,57.78,57.78,94,RU,100,1627429626,6.31
chulman,56.8479,124.9104,69.46,69.46,66,RU,62,1627429626,3.04
broken hill,-31.95,141.4333,56.91,56.91,82,AU,90,1627429626,11.5
tessalit,20.1986,1.0114,88.2,88.2,42,ML,94,1627429627,15.17
burnie,-41.0667,145.9167,54.91,54.91,83,AU,91,1627429336,20.87
wanaka,-44.7,169.15,50.11,50.11,94,NZ,72,1627429627,3.0
butaritari,3.0707,172.7902,81.59,81.59,70,KI,98,1627429628,2.1
hofn,64.2539,-15.2082,54.7,54.7,80,IS,95,1627429628,8.23
reconquista,-29.15,-59.65,45.79,45.79,35,AR,0,1627429629,5.97
cuamba,-14.8031,36.5372,55.47,55.47,91,MZ,21,1627429629,3.89
kloulklubed,7.0419,134.2556,82.9,82.9,76,PW,87,1627429630,9.75
kupang,-10.1667,123.5833,77.58,77.58,73,ID,20,1627429412,10.36
grindavik,63.8424,-22.4338,49.71,51.75,93,IS,0,1627429630,14.97
georgetown,5.4112,100.3354,81.9,82.89,87,MY,20,1627429405,2.3
thompson,55.7435,-97.8558,75.36,75.36,50,CA,90,1627429631,10.36
dehui,44.5333,125.7,82.71,82.71,76,CN,65,1627429631,4.52
tira sujanpur,31.8333,76.5,75.78,75.78,99,IN,100,1627429632,2.51
unecha,52.8459,32.6739,66.58,66.58,74,RU,90,1627429632,8.77
bredasdorp,-34.5322,20.0403,54.72,54.72,71,ZA,100,1627429632,9.22
alugan,12.2188,125.4808,84.72,84.72,66,PH,97,1627429633,11.74
kapaa,22.0752,-159.319,81.54,84.52,76,US,90,1627429633,1.99
solnechnyy,50.7214,136.6319,78.98,78.98,77,RU,66,1627429634,2.48
clarksdale,34.2001,-90.5709,91.49,91.9,66,US,20,1627429634,0.0
upernavik,72.7868,-56.1549,50.04,50.04,71,GL,100,1627429635,12.06
high prairie,55.4334,-116.4858,76.3,76.3,24,CA,13,1627429635,11.21
mount isa,-20.7333,139.5,71.37,71.37,56,AU,63,1627429635,1.14
port elizabeth,-33.918,25.5701,59.29,59.29,88,ZA,0,1627429636,17.27
vardo,70.3705,31.1107,46.6,46.6,88,NO,82,1627429636,12.93
gagarin,55.5529,34.9954,61.57,61.57,92,RU,100,1627429637,5.95
clyde river,70.4692,-68.5914,52.03,52.03,71,CA,75,1627429637,8.05
xining,36.6167,101.7667,56.08,56.08,65,CN,65,1627429638,2.26
leningradskiy,69.3833,178.4167,34.16,34.16,98,RU,100,1627429638,8.66
nelson bay,-32.7167,152.15,60.71,68.77,63,AU,53,1627429638,1.99
yumen,40.2833,97.2,77.59,77.59,20,CN,23,1627429639,4.92
barra dos coqueiros,-10.9089,-37.0386,75.22,75.22,88,BR,40,1627429639,5.75
shahreza,32.0339,51.8794,72.73,72.73,31,IR,1,1627429640,3.22
fort nelson,58.8053,-122.7002,65.79,65.79,72,CA,75,1627429506,2.3
